id,name,hamletId,officialOrder
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru_umugochukwu,Umugochukwu,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru_umugochukwu,Umugochukwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru_umuosuchukwu,Umuosuchukwu,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru_umuosuchukwu,Umuosuchukwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru_umuosuagwu,Umuosuagwu,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru,3
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru_umuosuagwu,Umuosuagwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru,3
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru_umudeze,Umudeze,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru,4
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru_umudeze,Umudeze,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru,4
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru_umu_chukwunyereoke,Umu - Chukwunyereoke,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru,5
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru_umu_chukwunyereoke,Umu - Chukwunyereoke,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru,5
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuodumonu_umunwoji_umunwoji,Umunwoji,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuodumonu_umunwoji,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umunwoji_umunwoji,Umunwoji,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umunwoji,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umunwoji_umunwoji,Umunwoji,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umunwoji,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuodumonu_umunwoji_umunwoji,Umunwoji,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuodumonu_umunwoji,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umunwoji_umunwoji,Umunwoji,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umunwoji,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umunwoji_umunwoji,Umunwoji,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umunwoji,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_abanihi_umu_nwabuogaranya,Umu - Nwabuogaranya,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_abanihi,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_abanihi_umu_nwabuogaranya,Umu - Nwabuogaranya,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_abanihi,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_abanihi_umj_chukwuemeka,Umj - Chukwuemeka,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_abanihi,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_abanihi_umj_chukwuemeka,Umj - Chukwuemeka,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_abanihi,2
