admin_level_3_id,admin_level_3_name,admin_level_2_id,admin_level_1_id,country_id
ADM3_BEN_ATAKORA_TOUCOUNTOUNA_TAMPEGRE,Tampégré,ADM2_BEN_ATAKORA_TOUCOUNTOUNA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TOUCOUNTOUNA_TOUCOUNTOUNA,Toucountouna,ADM2_BEN_ATAKORA_TOUCOUNTOUNA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_ABOMEY_CALAVI,Abomey-Calavi,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_AKASSATO,Akassato,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_GLO_DJIGBE,Glo-Djigbé,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_GODOMEY,Godomey,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_HEVIE,Hévié,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_KPANROUN,Kpanroun,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_OUEDO,Ouédo,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_TOGBA,Togba,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ABOMEY_CALAVI_ZINVIE,Zinvié,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_AGBANOU,Agbanou,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_AHOUANNONZOUN,Ahouannonzoun,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_ALLADA,Allada,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_ATTOGON,Attogon,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_AVAKPA,Avakpa,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_AYOU,Ayou,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_HINVI,Hinvi,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_LISSEGAZOUN,Lissègazoun,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_LON_AGONMEY,Lon-Agonmey,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_SEKOU,Sékou,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_TOGOUDO,Togoudo,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ALLADA_TOKPA_AVAGOUDO,Tokpa-Avagoudo,ADM2_BEN_ATLANTIQUE_ALLADA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_AGANMALOME,Aganmalomè,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_AGBANTO,Agbanto,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_AGONKANME,Agonkanmè,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_DEDOME,Dedomè,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_DEKANME,Dekanmè,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_KPOMASSE,Kpomassè,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_SEGBEYA,Ségbeya,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_SEGBOHOUE,Ségbohoué,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_KPOMASSE_TOKPA_DOME,Tokpa-Domè,ADM2_BEN_ATLANTIQUE_KPOMASSE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_AVLEKETE,Avlékété,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_DJEGBADJI,Djégbadji,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_GAKPE,Gakpè,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_OUAKPE_DAHO,Ouakpé-Daho,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_OUIDAH_I,Ouidah I,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_OUIDAH_II,Ouidah II,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_OUIDAH_III,Ouidah III,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
